?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/L01EH02>	1
<http://purl.bioontology.org/ontology/ATC/C03BA04>	9
<http://purl.bioontology.org/ontology/ATC/J07CA01>	3
<http://purl.bioontology.org/ontology/ATC/M01AE03>	7
<http://purl.bioontology.org/ontology/ATC/C07AB08>	2
<http://purl.bioontology.org/ontology/ATC/J07AN01>	1
<http://purl.bioontology.org/ontology/ATC/G04BX14>	4
<http://purl.bioontology.org/ontology/ATC/N07BC02>	1
<http://purl.bioontology.org/ontology/ATC/N05CD11>	1
<http://purl.bioontology.org/ontology/ATC/A10BD15>	2
<http://purl.bioontology.org/ontology/ATC/G01AF01>	4
<http://purl.bioontology.org/ontology/ATC/J01MA12>	19
<http://purl.bioontology.org/ontology/ATC/L04AX01>	19
<http://purl.bioontology.org/ontology/ATC/L01AD01>	6
<http://purl.bioontology.org/ontology/ATC/M01AC06>	3
<http://purl.bioontology.org/ontology/ATC/A03FA03>	1
<http://purl.bioontology.org/ontology/ATC/D05BB02>	18
<http://purl.bioontology.org/ontology/ATC/V01AA05>	13
<http://purl.bioontology.org/ontology/ATC/J07AL02>	9
<http://purl.bioontology.org/ontology/ATC/V03AE02>	6
<http://purl.bioontology.org/ontology/ATC/G03AB08>	1
<http://purl.bioontology.org/ontology/ATC/A02BX13>	1
<http://purl.bioontology.org/ontology/ATC/C08CA12>	2
<http://purl.bioontology.org/ontology/ATC/A10BD24>	2
<http://purl.bioontology.org/ontology/ATC/N04BC04>	4
<http://purl.bioontology.org/ontology/ATC/N03AF02>	4
<http://purl.bioontology.org/ontology/ATC/G04BE03>	9
<http://purl.bioontology.org/ontology/ATC/C01BA02>	1
<http://purl.bioontology.org/ontology/ATC/V01AA02>	13
<http://purl.bioontology.org/ontology/ATC/V03AE05>	7
<http://purl.bioontology.org/ontology/ATC/N05BE01>	1
<http://purl.bioontology.org/ontology/ATC/A10AD04>	1
<http://purl.bioontology.org/ontology/ATC/L01DB02>	3
<http://purl.bioontology.org/ontology/ATC/L01BA01>	10
<http://purl.bioontology.org/ontology/ATC/A10BK04>	3
<http://purl.bioontology.org/ontology/ATC/V03AB21>	1
<http://purl.bioontology.org/ontology/ATC/J01XX09>	8
<http://purl.bioontology.org/ontology/ATC/J07BC02>	2
<http://purl.bioontology.org/ontology/ATC/J05AE10>	2
<http://purl.bioontology.org/ontology/ATC/J07BK01>	3
<http://purl.bioontology.org/ontology/ATC/B05XA01>	1
<http://purl.bioontology.org/ontology/ATC/A10BK03>	13
