?o	?totalEdges
<http://snomed.info/id/95372000>	6
<http://snomed.info/id/732968009>	1
<http://snomed.info/id/18811000146108>	1
<http://snomed.info/id/3006004>	1
<http://snomed.info/id/130948000>	1
<http://snomed.info/id/860880003>	1
<http://snomed.info/id/246539005>	1
<http://snomed.info/id/72934000>	1
<http://snomed.info/id/40178009>	1
<http://snomed.info/id/95315005>	1
<http://snomed.info/id/254845004>	2
<http://snomed.info/id/443333004>	1
<http://snomed.info/id/86859003>	1
<http://snomed.info/id/1148893001>	1
<http://snomed.info/id/271811009>	5
<http://snomed.info/id/863932003>	3
<http://snomed.info/id/119971000119104>	1
<http://snomed.info/id/719551008>	1
<http://snomed.info/id/233875006>	2
<http://snomed.info/id/237139007>	2
<http://snomed.info/id/166455007>	2
<http://snomed.info/id/39191000119103>	2
<http://snomed.info/id/240022008>	1
<http://snomed.info/id/14756005>	2
<http://snomed.info/id/236514003>	2
<http://snomed.info/id/367494004>	3
<http://snomed.info/id/17585008>	1
<http://snomed.info/id/12204311000119108>	1
<http://snomed.info/id/99721000146100>	2
<http://snomed.info/id/405501007>	2
<http://snomed.info/id/64195000>	1
<http://snomed.info/id/404140004>	1
<http://snomed.info/id/80071000119103>	2
<http://snomed.info/id/1163116000>	2
<http://snomed.info/id/129890008>	1
<http://snomed.info/id/168078000>	1
<http://snomed.info/id/260233009>	1
<http://snomed.info/id/54102005>	1
<http://snomed.info/id/36760000>	3
<http://snomed.info/id/442662004>	1
<http://snomed.info/id/703473004>	1
<http://snomed.info/id/11941000175101>	1
<http://snomed.info/id/420653000>	1
<http://snomed.info/id/7881005>	3
<http://snomed.info/id/33381000146108>	1
<http://snomed.info/id/422290000>	1
<http://snomed.info/id/414391001>	1
<http://snomed.info/id/235652004>	3
<http://snomed.info/id/433146000>	1
<http://snomed.info/id/191676002>	1
<http://snomed.info/id/166440003>	1
<http://snomed.info/id/224186005>	2
<http://snomed.info/id/405267007>	1
<http://snomed.info/id/21641000146107>	2
<http://snomed.info/id/41345002>	1
<http://snomed.info/id/279059006>	1
<http://snomed.info/id/735544003>	1
<http://snomed.info/id/32838008>	3
<http://snomed.info/id/34991000146107>	2
<http://snomed.info/id/441773004>	1
<http://snomed.info/id/42982001>	2
<http://snomed.info/id/737037004>	2
<http://snomed.info/id/401047000>	2
<http://snomed.info/id/195295006>	1
<http://snomed.info/id/66952001>	1
<http://snomed.info/id/193248005>	1
<http://snomed.info/id/11833005>	1
<http://snomed.info/id/247471006>	2
<http://snomed.info/id/609328004>	1
<http://snomed.info/id/197284004>	1
<http://snomed.info/id/32001000146108>	1
<http://snomed.info/id/66187002>	3
<http://snomed.info/id/52675005>	1
<http://snomed.info/id/72000004>	1
<http://snomed.info/id/726079008>	1
<http://snomed.info/id/6935003>	1
<http://snomed.info/id/131116005>	1
<http://snomed.info/id/367466007>	1
<http://snomed.info/id/402703004>	1
<http://snomed.info/id/897286005>	1
<http://snomed.info/id/313299006>	1
<http://snomed.info/id/431309003>	1
<http://snomed.info/id/722099004>	4
<http://snomed.info/id/448784003>	5
<http://snomed.info/id/1296672005>	1
<http://snomed.info/id/161718009>	1
<http://snomed.info/id/131022004>	1
<http://snomed.info/id/131019001>	1
<http://snomed.info/id/62479008>	1
<http://snomed.info/id/372142002>	1
<http://snomed.info/id/432355004>	1
<http://snomed.info/id/15765005>	1
<http://snomed.info/id/258245003>	1
<http://snomed.info/id/95403007>	1
<http://snomed.info/id/195103000>	2
<http://snomed.info/id/230591002>	6
<http://snomed.info/id/405569006>	2
<http://snomed.info/id/49513005>	1
<http://snomed.info/id/47270006>	2
<http://snomed.info/id/228281002>	1
<http://snomed.info/id/1259094005>	1
<http://snomed.info/id/28394000>	1
<http://snomed.info/id/142281000119109>	1
<http://snomed.info/id/239944008>	1
<http://snomed.info/id/267969005>	1
<http://snomed.info/id/53104002>	2
<http://snomed.info/id/23133003>	1
<http://snomed.info/id/32566006>	1
<http://snomed.info/id/237734007>	1
<http://snomed.info/id/1264052006>	2
<http://snomed.info/id/386705008>	1
<http://snomed.info/id/95861000>	1
<http://snomed.info/id/43994002>	1
<http://snomed.info/id/247404004>	2
<http://snomed.info/id/55406008>	4
<http://snomed.info/id/101071000119104>	1
<http://snomed.info/id/78691002>	2
<http://snomed.info/id/394896005>	1
<http://snomed.info/id/450410005>	1
<http://snomed.info/id/103002009>	2
<http://snomed.info/id/16763008>	1
<http://snomed.info/id/263039001>	2
<http://snomed.info/id/25947003>	1
<http://snomed.info/id/111475002>	1
<http://snomed.info/id/102464007>	2
<http://snomed.info/id/271720007>	1
<http://snomed.info/id/315353005>	2
<http://snomed.info/id/79118000>	1
<http://snomed.info/id/248311001>	1
<http://snomed.info/id/817685381000119106>	3
<http://snomed.info/id/441656006>	1
<http://snomed.info/id/111575000>	1
<http://snomed.info/id/236424009>	2
<http://snomed.info/id/398970001>	3
<http://snomed.info/id/248450003>	1
<http://snomed.info/id/13234002>	1
<http://snomed.info/id/8652009>	1
<http://snomed.info/id/7431000175109>	1
<http://snomed.info/id/235948002>	1
<http://snomed.info/id/213017001>	1
<http://snomed.info/id/267078001>	4
<http://snomed.info/id/292166003>	1
<http://snomed.info/id/237847005>	1
<http://snomed.info/id/186698009>	1
<http://snomed.info/id/1163420005>	1
<http://snomed.info/id/774071007>	2
<http://snomed.info/id/768556005>	1
<http://snomed.info/id/457612009>	1
<http://snomed.info/id/134771000119108>	1
<http://snomed.info/id/22490002>	2
<http://snomed.info/id/82403002>	3
<http://snomed.info/id/85461008>	1
<http://snomed.info/id/713730000>	1
<http://snomed.info/id/879963005>	3
<http://snomed.info/id/1153338005>	1
<http://snomed.info/id/711563001>	1
<http://snomed.info/id/578968971000119100>	1
<http://snomed.info/id/1187638005>	1
<http://snomed.info/id/417893002>	1
<http://snomed.info/id/415149004>	1
<http://snomed.info/id/788914007>	1
<http://snomed.info/id/37657006>	1
<http://snomed.info/id/16755281000119108>	1
<http://snomed.info/id/7395000>	2
<http://snomed.info/id/34430009>	1
<http://snomed.info/id/289738001>	1
<http://snomed.info/id/284521000>	1
<http://snomed.info/id/62704000>	1
<http://snomed.info/id/424372002>	1
<http://snomed.info/id/57568005>	1
<http://snomed.info/id/414022008>	1
<http://snomed.info/id/674481000119100>	1
<http://snomed.info/id/75771000146109>	1
<http://snomed.info/id/371992003>	1
<http://snomed.info/id/420120006>	2
<http://snomed.info/id/298231004>	2
<http://snomed.info/id/1092871000119107>	1
<http://snomed.info/id/195343000>	2
<http://snomed.info/id/31341008>	1
<http://snomed.info/id/238949006>	1
<http://snomed.info/id/403198004>	3
<http://snomed.info/id/236403004>	2
<http://snomed.info/id/267659002>	2
<http://snomed.info/id/89555002>	2
<http://snomed.info/id/53298000>	1
<http://snomed.info/id/292739008>	1
<http://snomed.info/id/293413000>	1
<http://snomed.info/id/293177002>	1
<http://snomed.info/id/287192004>	1
<http://snomed.info/id/201091002>	1
<http://snomed.info/id/201101007>	3
<http://snomed.info/id/254656002>	1
<http://snomed.info/id/403208003>	1
<http://snomed.info/id/88996004>	2
<http://snomed.info/id/54867000>	1
<http://snomed.info/id/23891001>	1
<http://snomed.info/id/234339009>	1
<http://snomed.info/id/235884008>	2
<http://snomed.info/id/267030001>	1
<http://snomed.info/id/162335008>	4
<http://snomed.info/id/68433009>	1
<http://snomed.info/id/276555005>	1
<http://snomed.info/id/371631005>	1
<http://snomed.info/id/236541008>	1
<http://snomed.info/id/165232002>	1
<http://snomed.info/id/713822005>	1
<http://snomed.info/id/2228002>	2
<http://snomed.info/id/722864002>	1
<http://snomed.info/id/44115007>	1
<http://snomed.info/id/1332008>	1
<http://snomed.info/id/51746009>	1
<http://snomed.info/id/431524008>	2
<http://snomed.info/id/235867002>	2
<http://snomed.info/id/255522009>	1
<http://snomed.info/id/24480009>	1
<http://snomed.info/id/193795008>	1
<http://snomed.info/id/54388004>	2
<http://snomed.info/id/193576003>	3
<http://snomed.info/id/425064003>	1
<http://snomed.info/id/238935002>	1
<http://snomed.info/id/48532005>	1
<http://snomed.info/id/95381006>	1
<http://snomed.info/id/103213002>	1
<http://snomed.info/id/238997007>	2
<http://snomed.info/id/297942002>	1
<http://snomed.info/id/121231000146105>	2
<http://snomed.info/id/1268301006>	1
<http://snomed.info/id/400082007>	1
<http://snomed.info/id/58263000>	2
<http://snomed.info/id/230236008>	3
<http://snomed.info/id/275514001>	1
<http://snomed.info/id/762244004>	1
<http://snomed.info/id/718080002>	3
<http://snomed.info/id/151821000146108>	1
<http://snomed.info/id/230769007>	1
<http://snomed.info/id/206525008>	1
<http://snomed.info/id/90739004>	2
<http://snomed.info/id/15199004>	1
<http://snomed.info/id/19598007>	1
<http://snomed.info/id/422677000>	1
<http://snomed.info/id/112082005>	1
<http://snomed.info/id/472992004>	1
<http://snomed.info/id/10939881000119105>	1
<http://snomed.info/id/1269464005>	3
<http://snomed.info/id/441772009>	1
<http://snomed.info/id/1335873005>	6
<http://snomed.info/id/102867009>	2
<http://snomed.info/id/3951002>	3
<http://snomed.info/id/128352002>	1
<http://snomed.info/id/309596003>	1
<http://snomed.info/id/264867001>	2
<http://snomed.info/id/49886003>	1
<http://snomed.info/id/52457000>	1
<http://snomed.info/id/712512004>	1
<http://snomed.info/id/155441006>	2
<http://snomed.info/id/35678005>	1
<http://snomed.info/id/103019006>	3
<http://snomed.info/id/10676911000119100>	1
<http://snomed.info/id/22649008>	3
<http://snomed.info/id/82119001>	1
<http://snomed.info/id/278484009>	1
<http://snomed.info/id/433229006>	1
<http://snomed.info/id/737251009>	1
<http://snomed.info/id/246927006>	2
<http://snomed.info/id/416931008>	1
<http://snomed.info/id/34916006>	1
<http://snomed.info/id/103274003>	1
<http://snomed.info/id/1204463009>	1
<http://snomed.info/id/58214004>	2
<http://snomed.info/id/307212006>	2
<http://snomed.info/id/229665008>	2
<http://snomed.info/id/403452009>	1
<http://snomed.info/id/84089009>	1
<http://snomed.info/id/8009008>	2
<http://snomed.info/id/439158007>	1
<http://snomed.info/id/249524005>	1
<http://snomed.info/id/398212009>	1
<http://snomed.info/id/1148489000>	1
<http://snomed.info/id/440421009>	1
<http://snomed.info/id/18718003>	1
<http://snomed.info/id/69718008>	1
<http://snomed.info/id/34014006>	4
<http://snomed.info/id/427090001>	1
<http://snomed.info/id/230316009>	2
<http://snomed.info/id/80967001>	4
<http://snomed.info/id/20621000146105>	5
<http://snomed.info/id/10685111000119102>	2
<http://snomed.info/id/281794004>	1
<http://snomed.info/id/62950007>	1
<http://snomed.info/id/23205009>	1
<http://snomed.info/id/47340003>	1
<http://snomed.info/id/12979003>	1
<http://snomed.info/id/169948004>	1
<http://snomed.info/id/80330000>	1
<http://snomed.info/id/724451007>	1
<http://snomed.info/id/15949341000119100>	1
<http://snomed.info/id/285306003>	1
<http://snomed.info/id/246650003>	1
<http://snomed.info/id/193683001>	1
<http://snomed.info/id/162278001>	4
<http://snomed.info/id/234102003>	1
<http://snomed.info/id/400066006>	1
<http://snomed.info/id/41910004>	1
<http://snomed.info/id/50122000>	1
<http://snomed.info/id/1415005>	2
<http://snomed.info/id/403536009>	1
<http://snomed.info/id/201285006>	2
<http://snomed.info/id/11010461000119101>	1
<http://snomed.info/id/64779008>	1
<http://snomed.info/id/426761007>	1
<http://snomed.info/id/441920005>	1
<http://snomed.info/id/707747007>	2
<http://snomed.info/id/129610005>	1
<http://snomed.info/id/14521008>	1
<http://snomed.info/id/195834004>	3
<http://snomed.info/id/300246005>	2
<http://snomed.info/id/441901000124101>	1
<http://snomed.info/id/289155006>	1
<http://snomed.info/id/298015003>	1
<http://snomed.info/id/93689003>	2
<http://snomed.info/id/241428009>	1
<http://snomed.info/id/50415004>	1
<http://snomed.info/id/248325000>	3
<http://snomed.info/id/213308006>	1
<http://snomed.info/id/363681007>	1
<http://snomed.info/id/77628002>	1
<http://snomed.info/id/427020007>	1
<http://snomed.info/id/427380004>	2
<http://snomed.info/id/21454007>	1
<http://snomed.info/id/15770003>	2
<http://snomed.info/id/197078006>	1
<http://snomed.info/id/129888007>	2
<http://snomed.info/id/285242009>	1
<http://snomed.info/id/420774007>	1
<http://snomed.info/id/55056006>	1
<http://snomed.info/id/293203005>	1
<http://snomed.info/id/4240001>	1
<http://snomed.info/id/1187030002>	1
<http://snomed.info/id/40806005>	2
<http://snomed.info/id/102866000>	2
<http://snomed.info/id/427461000>	4
<http://snomed.info/id/709014002>	2
<http://snomed.info/id/17465007>	1
<http://snomed.info/id/409802002>	1
<http://snomed.info/id/18070006>	1
<http://snomed.info/id/22803001>	2
<http://snomed.info/id/162470006>	1
<http://snomed.info/id/308855000>	1
<http://snomed.info/id/403630005>	1
<http://snomed.info/id/90129003>	1
<http://snomed.info/id/25458004>	1
<http://snomed.info/id/191697001>	1
<http://snomed.info/id/162248005>	1
<http://snomed.info/id/87828008>	3
<http://snomed.info/id/235677003>	3
<http://snomed.info/id/235630008>	1
<http://snomed.info/id/104041000119108>	1
<http://snomed.info/id/32937002>	1
<http://snomed.info/id/716673006>	1
<http://snomed.info/id/1332373008>	1
<http://snomed.info/id/170170009>	1
<http://snomed.info/id/102514002>	1
<http://snomed.info/id/230507009>	1
<http://snomed.info/id/274744005>	1
<http://snomed.info/id/274718005>	2
<http://snomed.info/id/14189004>	1
<http://snomed.info/id/150971000119104>	1
<http://snomed.info/id/308801000119100>	1
<http://snomed.info/id/197679002>	1
<http://snomed.info/id/51071000>	1
<http://snomed.info/id/402254003>	1
<http://snomed.info/id/445918001>	1
<http://snomed.info/id/703200003>	1
<http://snomed.info/id/41368006>	1
<http://snomed.info/id/262909002>	1
<http://snomed.info/id/68666001>	1
<http://snomed.info/id/12391000132109>	4
<http://snomed.info/id/13445001>	1
<http://snomed.info/id/124961001>	2
<http://snomed.info/id/102865001>	1
<http://snomed.info/id/165685003>	1
<http://snomed.info/id/413439005>	1
<http://snomed.info/id/27355003>	5
<http://snomed.info/id/169979000>	3
<http://snomed.info/id/92439006>	1
<http://snomed.info/id/297216006>	1
<http://snomed.info/id/162468002>	2
<http://snomed.info/id/230339003>	1
<http://snomed.info/id/61974008>	1
<http://snomed.info/id/240139008>	1
<http://snomed.info/id/30091000146103>	1
<http://snomed.info/id/248581005>	2
<http://snomed.info/id/718403007>	1
<http://snomed.info/id/131411000119107>	1
<http://snomed.info/id/12295008>	1
<http://snomed.info/id/233850007>	1
<http://snomed.info/id/14811000119105>	3
<http://snomed.info/id/123821009>	1
<http://snomed.info/id/76618002>	1
<http://snomed.info/id/255184001>	1
<http://snomed.info/id/254651007>	1
<http://snomed.info/id/840636009>	2
<http://snomed.info/id/770349000>	1
<http://snomed.info/id/92345004>	1
<http://snomed.info/id/1731000119106>	1
<http://snomed.info/id/733193001>	1
<http://snomed.info/id/250274006>	3
<http://snomed.info/id/271834000>	2
<http://snomed.info/id/367403001>	1
<http://snomed.info/id/300296006>	2
<http://snomed.info/id/398570005>	1
<http://snomed.info/id/829988004>	2
<http://snomed.info/id/301920009>	1
<http://snomed.info/id/88032003>	1
<http://snomed.info/id/110342004>	1
<http://snomed.info/id/233688007>	1
<http://snomed.info/id/242056005>	1
<http://snomed.info/id/105602005>	1
<http://snomed.info/id/250275007>	1
<http://snomed.info/id/70256003>	1
<http://snomed.info/id/372283008>	4
<http://snomed.info/id/162181003>	1
<http://snomed.info/id/79342006>	1
<http://snomed.info/id/73062002>	1
<http://snomed.info/id/262682005>	1
<http://snomed.info/id/770924008>	1
<http://snomed.info/id/236302005>	1
<http://snomed.info/id/247703006>	1
<http://snomed.info/id/58008004>	2
<http://snomed.info/id/1141790002>	1
<http://snomed.info/id/870517000>	1
<http://snomed.info/id/13923006>	1
<http://snomed.info/id/789527006>	1
<http://snomed.info/id/47161000146109>	1
<http://snomed.info/id/707420003>	1
<http://snomed.info/id/16813005>	1
<http://snomed.info/id/282302006>	1
<http://snomed.info/id/124226002>	1
<http://snomed.info/id/91327001>	1
<http://snomed.info/id/444312002>	1
<http://snomed.info/id/61031008>	1
<http://snomed.info/id/90616004>	1
<http://snomed.info/id/90688005>	4
<http://snomed.info/id/127013003>	1
<http://snomed.info/id/46737006>	1
<http://snomed.info/id/206491006>	1
<http://snomed.info/id/1156256003>	1
<http://snomed.info/id/397974008>	2
<http://snomed.info/id/225636006>	1
<http://snomed.info/id/164955000>	1
<http://snomed.info/id/161881004>	3
<http://snomed.info/id/49601007>	2
<http://snomed.info/id/120821000119107>	1
<http://snomed.info/id/840506008>	1
<http://snomed.info/id/235755005>	1
<http://snomed.info/id/56038003>	2
<http://snomed.info/id/385531000>	2
<http://snomed.info/id/315256004>	1
<http://snomed.info/id/418363000>	1
<http://snomed.info/id/197940006>	1
<http://snomed.info/id/60612008>	1
<http://snomed.info/id/75295004>	1
<http://snomed.info/id/248626009>	2
<http://snomed.info/id/77708008>	1
<http://snomed.info/id/19311003>	1
<http://snomed.info/id/8769003>	2
<http://snomed.info/id/827045004>	2
<http://snomed.info/id/12010005>	1
<http://snomed.info/id/414375004>	1
<http://snomed.info/id/433082007>	2
<http://snomed.info/id/166848004>	2
<http://snomed.info/id/248100003>	1
<http://snomed.info/id/240269006>	1
<http://snomed.info/id/2929001>	1
<http://snomed.info/id/266254007>	1
<http://snomed.info/id/119248009>	1
<http://snomed.info/id/706870000>	2
<http://snomed.info/id/74952004>	1
<http://snomed.info/id/276796006>	1
<http://snomed.info/id/871686004>	1
<http://snomed.info/id/110364008>	4
<http://snomed.info/id/15998351000119102>	1
<http://snomed.info/id/167667006>	1
<http://snomed.info/id/110265006>	1
<http://snomed.info/id/100581000119102>	1
<http://snomed.info/id/267039000>	3
<http://snomed.info/id/424580008>	3
<http://snomed.info/id/220363002>	1
<http://snomed.info/id/77377001>	1
<http://snomed.info/id/50143004>	1
<http://snomed.info/id/123787003>	1
<http://snomed.info/id/201066002>	1
<http://snomed.info/id/190745006>	1
<http://snomed.info/id/170283001>	1
<http://snomed.info/id/300440002>	1
<http://snomed.info/id/32081000146104>	1
<http://snomed.info/id/1293198008>	1
<http://snomed.info/id/32191000146103>	1
<http://snomed.info/id/192136006>	1
<http://snomed.info/id/95322002>	1
<http://snomed.info/id/40070004>	2
<http://snomed.info/id/274204004>	1
<http://snomed.info/id/12081451000119105>	1
<http://snomed.info/id/231923006>	1
<http://snomed.info/id/62621000146101>	1
<http://snomed.info/id/237897009>	1
<http://snomed.info/id/1144916002>	1
<http://snomed.info/id/187084006>	1
<http://snomed.info/id/422376000>	1
<http://snomed.info/id/166317001>	1
<http://snomed.info/id/248413004>	1
<http://snomed.info/id/167963007>	1
<http://snomed.info/id/166689004>	1
<http://snomed.info/id/1179458001>	2
<http://snomed.info/id/20802003>	1
<http://snomed.info/id/55350005>	1
<http://snomed.info/id/698640000>	1
<http://snomed.info/id/53084003>	2
<http://snomed.info/id/5758002>	3
<http://snomed.info/id/213148006>	1
<http://snomed.info/id/35481000087104>	1
<http://snomed.info/id/302906000>	1
<http://snomed.info/id/60737008>	3
<http://snomed.info/id/126668007>	1
<http://snomed.info/id/90935002>	1
<http://snomed.info/id/413212000>	1
<http://snomed.info/id/112581000119104>	1
<http://snomed.info/id/423533009>	1
<http://snomed.info/id/191216004>	1
<http://snomed.info/id/195229008>	1
<http://snomed.info/id/74400008>	4
<http://snomed.info/id/272040008>	1
<http://snomed.info/id/75570004>	5
<http://snomed.info/id/166631000119101>	1
<http://snomed.info/id/441685000>	2
<http://snomed.info/id/274774002>	3
<http://snomed.info/id/283948004>	1
<http://snomed.info/id/446596003>	1
<http://snomed.info/id/13839000>	1
<http://snomed.info/id/25488008>	1
<http://snomed.info/id/102587001>	1
<http://snomed.info/id/82196007>	1
<http://snomed.info/id/95442007>	1
<http://snomed.info/id/267265005>	1
<http://snomed.info/id/4554005>	1
<http://snomed.info/id/50573001>	1
<http://snomed.info/id/230736007>	1
<http://snomed.info/id/193967004>	1
<http://snomed.info/id/79471008>	2
<http://snomed.info/id/246635007>	1
<http://snomed.info/id/1151008>	1
<http://snomed.info/id/95677002>	2
<http://snomed.info/id/39416002>	1
<http://snomed.info/id/46917002>	1
<http://snomed.info/id/232034009>	1
<http://snomed.info/id/247466004>	1
<http://snomed.info/id/68761002>	1
<http://snomed.info/id/725940006>	1
<http://snomed.info/id/197316009>	1
<http://snomed.info/id/111409009>	1
<http://snomed.info/id/460445000>	2
<http://snomed.info/id/405944004>	1
<http://snomed.info/id/403108008>	1
<http://snomed.info/id/13710008>	1
<http://snomed.info/id/278972002>	1
<http://snomed.info/id/247880001>	1
<http://snomed.info/id/251526004>	1
<http://snomed.info/id/309572008>	1
<http://snomed.info/id/88213004>	1
<http://snomed.info/id/271789005>	1
<http://snomed.info/id/165495004>	4
<http://snomed.info/id/36830004>	1
<http://snomed.info/id/703162001>	1
<http://snomed.info/id/403665005>	3
<http://snomed.info/id/28637003>	1
<http://snomed.info/id/722869007>	2
<http://snomed.info/id/33841007>	2
<http://snomed.info/id/5601000119107>	1
<http://snomed.info/id/66880003>	1
<http://snomed.info/id/1086821000119108>	1
<http://snomed.info/id/17204006>	2
<http://snomed.info/id/235833007>	2
<http://snomed.info/id/230599000>	1
<http://snomed.info/id/11311601000119109>	1
<http://snomed.info/id/197941005>	2
<http://snomed.info/id/441806004>	1
<http://snomed.info/id/408365002>	1
<http://snomed.info/id/416195002>	1
<http://snomed.info/id/863891006>	2
<http://snomed.info/id/1204122005>	1
<http://snomed.info/id/17810004>	1
<http://snomed.info/id/289903006>	1
<http://snomed.info/id/237138004>	1
<http://snomed.info/id/713410003>	1
<http://snomed.info/id/16331000>	2
<http://snomed.info/id/300300007>	1
<http://snomed.info/id/300875005>	1
<http://snomed.info/id/965003>	2
<http://snomed.info/id/40541001>	1
<http://snomed.info/id/240468001>	1
<http://snomed.info/id/443928008>	1
<http://snomed.info/id/95360006>	1
<http://snomed.info/id/1281840008>	1
<http://snomed.info/id/83850008>	2
<http://snomed.info/id/49218002>	1
<http://snomed.info/id/280979004>	1
<http://snomed.info/id/82598004>	1
<http://snomed.info/id/250904002>	1
<http://snomed.info/id/416995001>	2
<http://snomed.info/id/47252008>	1
<http://snomed.info/id/431432003>	1
<http://snomed.info/id/432504007>	2
<http://snomed.info/id/238408000>	2
<http://snomed.info/id/22743000>	2
<http://snomed.info/id/681091000119103>	1
<http://snomed.info/id/86801005>	2
<http://snomed.info/id/161962008>	1
<http://snomed.info/id/118247008>	1
<http://snomed.info/id/274712006>	1
<http://snomed.info/id/230673001>	1
<http://snomed.info/id/237938003>	1
<http://snomed.info/id/247816002>	1
<http://snomed.info/id/169985007>	1
<http://snomed.info/id/50711007>	1
<http://snomed.info/id/402803008>	3
<http://snomed.info/id/1296663002>	2
<http://snomed.info/id/293146004>	1
<http://snomed.info/id/20531000146106>	1
<http://snomed.info/id/416209007>	1
<http://snomed.info/id/16237004>	1
<http://snomed.info/id/248651005>	1
<http://snomed.info/id/3253007>	2
<http://snomed.info/id/8757006>	1
<http://snomed.info/id/1281810006>	1
<http://snomed.info/id/405358009>	1
<http://snomed.info/id/197926005>	1
<http://snomed.info/id/58126003>	1
<http://snomed.info/id/385486001>	1
<http://snomed.info/id/1157057008>	1
<http://snomed.info/id/2471009>	1
<http://snomed.info/id/281255004>	1
<http://snomed.info/id/303078007>	1
<http://snomed.info/id/45369008>	1
<http://snomed.info/id/238471005>	1
<http://snomed.info/id/94501000119106>	1
<http://snomed.info/id/442515000>	1
<http://snomed.info/id/267628004>	2
<http://snomed.info/id/161844003>	1
<http://snomed.info/id/1269476005>	1
<http://snomed.info/id/95399003>	2
<http://snomed.info/id/501000146102>	1
<http://snomed.info/id/167180005>	3
<http://snomed.info/id/119416008>	1
<http://snomed.info/id/2528003>	1
<http://snomed.info/id/127033004>	2
<http://snomed.info/id/230687001>	1
<http://snomed.info/id/732961003>	1
<http://snomed.info/id/426364002>	1
<http://snomed.info/id/1335005>	1
<http://snomed.info/id/49120005>	1
<http://snomed.info/id/6595006>	3
<http://snomed.info/id/47241000146104>	1
<http://snomed.info/id/704350002>	1
<http://snomed.info/id/396285007>	1
<http://snomed.info/id/10509002>	1
<http://snomed.info/id/44635007>	2
<http://snomed.info/id/236110004>	1
<http://snomed.info/id/313413008>	1
<http://snomed.info/id/77410006>	1
<http://snomed.info/id/746223006>	1
<http://snomed.info/id/15270002>	1
<http://snomed.info/id/276611006>	1
<http://snomed.info/id/8510008>	2
<http://snomed.info/id/10633911000119107>	1
<http://snomed.info/id/103299002>	1
<http://snomed.info/id/10665004>	1
<http://snomed.info/id/109766007>	2
<http://snomed.info/id/309760004>	1
<http://snomed.info/id/238119005>	1
<http://snomed.info/id/46049004>	1
<http://snomed.info/id/420024000>	1
<http://snomed.info/id/238530002>	1
<http://snomed.info/id/402729004>	1
<http://snomed.info/id/4529005>	1
<http://snomed.info/id/713697009>	1
<http://snomed.info/id/293403008>	1
<http://snomed.info/id/131012005>	1
<http://snomed.info/id/21401000146106>	1
<http://snomed.info/id/105997008>	1
<http://snomed.info/id/370950002>	1
<http://snomed.info/id/165423001>	1
<http://snomed.info/id/313425006>	1
<http://snomed.info/id/95568003>	1
<http://snomed.info/id/1172711009>	1
<http://snomed.info/id/162436005>	1
<http://snomed.info/id/36568005>	1
<http://snomed.info/id/835279003>	1
<http://snomed.info/id/219656000>	1
<http://snomed.info/id/237808008>	1
<http://snomed.info/id/25136009>	1
<http://snomed.info/id/427919004>	1
<http://snomed.info/id/874912007>	1
<http://snomed.info/id/75053002>	1
<http://snomed.info/id/283067003>	1
<http://snomed.info/id/1335889008>	2
<http://snomed.info/id/11718971000119100>	1
<http://snomed.info/id/721683008>	1
<http://snomed.info/id/698065002>	1
<http://snomed.info/id/427128002>	2
<http://snomed.info/id/15639721000119105>	2
<http://snomed.info/id/846758008>	1
<http://snomed.info/id/111588002>	1
<http://snomed.info/id/50490005>	2
<http://snomed.info/id/301364008>	1
<http://snomed.info/id/968361541000119107>	1
<http://snomed.info/id/174156691000119104>	1
<http://snomed.info/id/128302006>	1
<http://snomed.info/id/702399004>	1
<http://snomed.info/id/472100003>	1
<http://snomed.info/id/1144981002>	1
<http://snomed.info/id/169241000>	1
<http://snomed.info/id/168631002>	1
<http://snomed.info/id/361136003>	1
<http://snomed.info/id/62305002>	1
<http://snomed.info/id/102621006>	1
<http://snomed.info/id/78129009>	1
<http://snomed.info/id/413256000>	1
<http://snomed.info/id/44054006>	2
<http://snomed.info/id/40055000>	1
<http://snomed.info/id/197928006>	1
<http://snomed.info/id/398057008>	4
<http://snomed.info/id/75483001>	1
<http://snomed.info/id/165474009>	1
<http://snomed.info/id/29260007>	1
<http://snomed.info/id/79883001>	2
<http://snomed.info/id/278527001>	1
<http://snomed.info/id/38739001>	1
<http://snomed.info/id/409667007>	2
<http://snomed.info/id/190502001>	1
<http://snomed.info/id/344351000119108>	1
<http://snomed.info/id/15639481000119102>	1
<http://snomed.info/id/314631008>	1
<http://snomed.info/id/201237005>	1
<http://snomed.info/id/249297006>	1
<http://snomed.info/id/35046003>	1
<http://snomed.info/id/3720003>	1
<http://snomed.info/id/1237404009>	2
<http://snomed.info/id/119981000146107>	3
<http://snomed.info/id/55768006>	1
<http://snomed.info/id/5571000124103>	1
<http://snomed.info/id/39205007>	1
<http://snomed.info/id/129129003>	1
<http://snomed.info/id/18265008>	1
<http://snomed.info/id/1155807002>	1
<http://snomed.info/id/1144993006>	1
<http://snomed.info/id/2921000119101>	1
<http://snomed.info/id/25093002>	1
<http://snomed.info/id/402644006>	1
<http://snomed.info/id/1295484008>	1
<http://snomed.info/id/71620000>	1
<http://snomed.info/id/203475004>	1
<http://snomed.info/id/440811000124101>	1
<http://snomed.info/id/1263545007>	1
<http://snomed.info/id/129821003>	1
<http://snomed.info/id/18660005>	1
<http://snomed.info/id/10679351000119109>	1
