?o	?totalEdges
<http://snomed.info/id/2919008>	10
<http://snomed.info/id/7011001>	139
<http://snomed.info/id/63983005>	3
<http://snomed.info/id/425104003>	42
<http://snomed.info/id/24982008>	47
<http://snomed.info/id/166603001>	9
<http://snomed.info/id/127034005>	113
<http://snomed.info/id/44301001>	10
<http://snomed.info/id/33449004>	4
<http://snomed.info/id/28277004>	14
<http://snomed.info/id/43105007>	4
<http://snomed.info/id/9748009>	37
<http://snomed.info/id/228158008>	18
<http://snomed.info/id/81308009>	47
<http://snomed.info/id/15244003>	32
<http://snomed.info/id/432352001>	29
<http://snomed.info/id/737560000>	31
<http://snomed.info/id/285193005>	5
<http://snomed.info/id/581000119100>	27
<http://snomed.info/id/16932000>	19
<http://snomed.info/id/63102001>	13
<http://snomed.info/id/563001>	20
<http://snomed.info/id/4448006>	10
<http://snomed.info/id/53165003>	9
<http://snomed.info/id/4598005>	13
<http://snomed.info/id/10205009>	2
<http://snomed.info/id/254104009>	6
<http://snomed.info/id/312894000>	9
<http://snomed.info/id/125605004>	16
<http://snomed.info/id/406444002>	6
<http://snomed.info/id/1023001>	21
<http://snomed.info/id/230456007>	5
<http://snomed.info/id/275498002>	35
<http://snomed.info/id/63491006>	12
<http://snomed.info/id/11791001>	7
<http://snomed.info/id/68235000>	33
<http://snomed.info/id/700458001>	6
<http://snomed.info/id/57190000>	22
<http://snomed.info/id/232000008>	19
<http://snomed.info/id/698247007>	22
<http://snomed.info/id/387778001>	70
<http://snomed.info/id/162116003>	58
<http://snomed.info/id/49650001>	66
<http://snomed.info/id/90560007>	28
<http://snomed.info/id/70134007>	4
<http://snomed.info/id/254701007>	25
<http://snomed.info/id/195967001>	38
<http://snomed.info/id/281239006>	3
<http://snomed.info/id/128295000>	4
<http://snomed.info/id/78370002>	6
<http://snomed.info/id/102447009>	2
<http://snomed.info/id/397758007>	52
<http://snomed.info/id/1231151009>	12
<http://snomed.info/id/423506005>	7
<http://snomed.info/id/266435005>	3
<http://snomed.info/id/271587009>	19
<http://snomed.info/id/429040005>	7
<http://snomed.info/id/10699001>	3
<http://snomed.info/id/445009001>	5
<http://snomed.info/id/72007001>	7
<http://snomed.info/id/4386001>	68
<http://snomed.info/id/307762000>	35
<http://snomed.info/id/705065000>	2
<http://snomed.info/id/52254009>	26
<http://snomed.info/id/281350007>	3
<http://snomed.info/id/93143009>	11
<http://snomed.info/id/90610005>	1
<http://snomed.info/id/64667001>	8
<http://snomed.info/id/60342002>	12
<http://snomed.info/id/38822007>	17
<http://snomed.info/id/48188009>	16
<http://snomed.info/id/409709004>	1
<http://snomed.info/id/4754008>	95
<http://snomed.info/id/248153007>	20
<http://snomed.info/id/386804004>	37
<http://snomed.info/id/23886002>	1
<http://snomed.info/id/1742007>	2
<http://snomed.info/id/247441003>	171
<http://snomed.info/id/51387008>	7
<http://snomed.info/id/300338006>	1
<http://snomed.info/id/166717003>	16
<http://snomed.info/id/44695005>	12
<http://snomed.info/id/60389000>	3
<http://snomed.info/id/609554006>	1
<http://snomed.info/id/35885006>	55
<http://snomed.info/id/43116000>	48
<http://snomed.info/id/397825006>	2
<http://snomed.info/id/712510007>	2
<http://snomed.info/id/399914006>	1
<http://snomed.info/id/716203000>	1
<http://snomed.info/id/86142006>	9
<http://snomed.info/id/162379006>	1
<http://snomed.info/id/76039005>	36
<http://snomed.info/id/56731001>	31
<http://snomed.info/id/246843000>	7
<http://snomed.info/id/251140005>	3
<http://snomed.info/id/111487009>	15
<http://snomed.info/id/21897009>	2
<http://snomed.info/id/6471006>	16
<http://snomed.info/id/162068007>	26
<http://snomed.info/id/27731006>	7
<http://snomed.info/id/300299004>	5
<http://snomed.info/id/300381009>	7
<http://snomed.info/id/236467001>	8
<http://snomed.info/id/26544005>	109
<http://snomed.info/id/275739007>	14
<http://snomed.info/id/441957004>	11
<http://snomed.info/id/165433009>	4
<http://snomed.info/id/17226007>	3
<http://snomed.info/id/57194009>	2
<http://snomed.info/id/302770003>	2
<http://snomed.info/id/76114004>	46
<http://snomed.info/id/35455006>	8
<http://snomed.info/id/145681000119101>	3
<http://snomed.info/id/111395007>	12
<http://snomed.info/id/1251376007>	7
<http://snomed.info/id/398909004>	4
<http://snomed.info/id/1187537008>	16
<http://snomed.info/id/91273001>	22
<http://snomed.info/id/420510009>	1
<http://snomed.info/id/237602007>	10
<http://snomed.info/id/1264154009>	21
<http://snomed.info/id/609563008>	14
<http://snomed.info/id/85828009>	21
<http://snomed.info/id/353295004>	14
<http://snomed.info/id/31384009>	15
<http://snomed.info/id/247318005>	3
<http://snomed.info/id/386585008>	1
<http://snomed.info/id/442082004>	3
<http://snomed.info/id/60423000>	2
<http://snomed.info/id/846605006>	3
<http://snomed.info/id/61804006>	3
<http://snomed.info/id/40100001>	2
<http://snomed.info/id/196075003>	6
<http://snomed.info/id/18893004>	5
<http://snomed.info/id/67251005>	3
<http://snomed.info/id/166669000>	8
<http://snomed.info/id/370172004>	8
<http://snomed.info/id/74021003>	1
<http://snomed.info/id/4949009>	1
<http://snomed.info/id/445108007>	1
<http://snomed.info/id/193699007>	12
<http://snomed.info/id/85102008>	3
<http://snomed.info/id/258142008>	3
<http://snomed.info/id/328383001>	1
<http://snomed.info/id/31070006>	4
<http://snomed.info/id/61261009>	79
<http://snomed.info/id/713388002>	49
<http://snomed.info/id/55004003>	46
<http://snomed.info/id/32798002>	24
<http://snomed.info/id/708673009>	8
<http://snomed.info/id/78144005>	13
<http://snomed.info/id/405788002>	23
<http://snomed.info/id/1003381002>	1
<http://snomed.info/id/361134000>	3
<http://snomed.info/id/302018006>	1
<http://snomed.info/id/271787007>	30
<http://snomed.info/id/70995007>	13
<http://snomed.info/id/706882009>	20
<http://snomed.info/id/197352008>	5
<http://snomed.info/id/26165005>	30
<http://snomed.info/id/197456007>	31
<http://snomed.info/id/3238004>	22
<http://snomed.info/id/417672002>	37
<http://snomed.info/id/781682005>	11
<http://snomed.info/id/2089002>	2
<http://snomed.info/id/6142004>	32
<http://snomed.info/id/29738008>	69
<http://snomed.info/id/84445001>	1
<http://snomed.info/id/298280009>	1
<http://snomed.info/id/279069000>	9
<http://snomed.info/id/300885006>	2
<http://snomed.info/id/128473001>	15
<http://snomed.info/id/815008>	2
<http://snomed.info/id/714152005>	1
<http://snomed.info/id/1179462007>	14
<http://snomed.info/id/14151009>	14
<http://snomed.info/id/271771009>	24
<http://snomed.info/id/771115008>	14
<http://snomed.info/id/44077006>	11
<http://snomed.info/id/10629009>	5
<http://snomed.info/id/1162337005>	1
<http://snomed.info/id/444849002>	2
<http://snomed.info/id/162437001>	2
<http://snomed.info/id/266257000>	25
<http://snomed.info/id/91478007>	1
<http://snomed.info/id/370992007>	14
<http://snomed.info/id/83132003>	11
<http://snomed.info/id/14783006>	43
<http://snomed.info/id/90834002>	35
<http://snomed.info/id/271750004>	6
<http://snomed.info/id/13600006>	15
<http://snomed.info/id/111583006>	39
<http://snomed.info/id/822995009>	12
<http://snomed.info/id/705083008>	18
<http://snomed.info/id/233917008>	8
<http://snomed.info/id/27550009>	2
