?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/N05BE01>	3
<http://purl.bioontology.org/ontology/ATC/A10AD04>	1
<http://purl.bioontology.org/ontology/ATC/L01DB02>	5
<http://purl.bioontology.org/ontology/ATC/L01BA01>	13
<http://purl.bioontology.org/ontology/ATC/V03AB21>	2
<http://purl.bioontology.org/ontology/ATC/J07BC02>	1
<http://purl.bioontology.org/ontology/ATC/J05AE10>	1
<http://purl.bioontology.org/ontology/ATC/J07BK01>	12
<http://purl.bioontology.org/ontology/ATC/B05XA01>	5
<http://purl.bioontology.org/ontology/ATC/L01BC02>	8
<http://purl.bioontology.org/ontology/ATC/C09AA03>	2
<http://purl.bioontology.org/ontology/ATC/N05AH02>	14
<http://purl.bioontology.org/ontology/ATC/L04AB04>	3
<http://purl.bioontology.org/ontology/ATC/C01CE03>	1
<http://purl.bioontology.org/ontology/ATC/G04CA02>	2
<http://purl.bioontology.org/ontology/ATC/N06AB03>	1
<http://purl.bioontology.org/ontology/ATC/J07BA01>	4
<http://purl.bioontology.org/ontology/ATC/C09AA04>	6
<http://purl.bioontology.org/ontology/ATC/M04AC01>	1
<http://purl.bioontology.org/ontology/ATC/G03AA12>	29
<http://purl.bioontology.org/ontology/ATC/B01AE07>	13
<http://purl.bioontology.org/ontology/ATC/H02AB02>	14
<http://purl.bioontology.org/ontology/ATC/C02CA04>	10
<http://purl.bioontology.org/ontology/ATC/M05BX05>	4
<http://purl.bioontology.org/ontology/ATC/J05AP57>	1
<http://purl.bioontology.org/ontology/ATC/J01CE01>	2
<http://purl.bioontology.org/ontology/ATC/L04AD01>	9
<http://purl.bioontology.org/ontology/ATC/B03AA07>	5
<http://purl.bioontology.org/ontology/ATC/N05AF03>	8
<http://purl.bioontology.org/ontology/ATC/J07BM03>	1
<http://purl.bioontology.org/ontology/ATC/C10BA02>	3
<http://purl.bioontology.org/ontology/ATC/N02BA01>	10
<http://purl.bioontology.org/ontology/ATC/A14AB01>	5
